timestamp,symbol,bid,bid_qty,ask,ask_qty,last,volume,vwap,low,high,change,change_pct
2024-10-24 22:41:44.523474,BTC/USD,67941.0,10.085716,67941.1,0.003,67941.0,1638.24125649,67803.1,66700.0,68794.2,721.0,1.07
2024-10-24 22:42:30.183578,BTC/USD,67937.7,0.03504991,67941.1,4.10209216,67937.7,1638.10740233,67803.2,66700.0,68794.2,715.2,1.06
2024-10-24 22:42:45.551298,BTC/USD,67935.6,2.77673089,67935.7,1.53191,67935.7,1638.1102536,67803.2,66700.0,68794.2,713.3,1.06
2024-10-24 22:42:46.779593,BTC/USD,67935.6,3.07673089,67935.7,1.83145279,67935.7,1638.11071081,67803.2,66700.0,68794.2,713.3,1.06
2024-10-24 22:42:46.870144,BTC/USD,67935.6,3.07673089,67935.7,1.73144955,67935.7,1638.21071405,67803.2,66700.0,68794.2,713.3,1.06
2024-10-24 22:43:02.982218,BTC/USD,67935.6,3.14943834,67935.7,1.44082955,67935.6,1638.1955026,67803.2,66700.0,68794.2,709.8,1.06
2024-10-24 22:43:17.500600,BTC/USD,67935.6,4.21129365,67935.7,0.26223147,67935.7,1638.19688113,67803.2,66700.0,68794.2,709.9,1.06
2024-10-24 22:43:36.364901,BTC/USD,67933.6,0.45601779,67935.5,12.58368844,67933.6,1638.11936219,67803.2,66700.0,68794.2,707.5,1.05
2024-10-24 22:43:46.991381,BTC/USD,67933.6,0.45453772,67933.7,9.124507,67933.6,1638.12084226,67803.2,66700.0,68794.2,707.5,1.05
2024-10-24 22:43:58.562219,BTC/USD,67933.6,0.45453772,67933.7,10.83289678,67933.7,1638.13232432,67803.2,66700.0,68794.2,707.7,1.05
2024-10-24 22:44:19.759306,BTC/USD,67933.6,0.45453772,67933.7,8.77976558,67933.7,1638.19910534,67803.2,66700.0,68794.2,707.7,1.05
2024-10-24 22:45:02.249461,BTC/USD,67933.6,17.74283262,67962.3,3.52570988,67962.3,1638.87540011,67803.3,66700.0,68794.2,736.2,1.1
2024-10-24 22:45:02.460309,BTC/USD,67961.4,0.51276863,67961.5,0.7604188,67961.4,1638.87550011,67803.3,66700.0,68794.2,735.3,1.09
2024-10-24 22:45:03.279182,BTC/USD,67961.4,6.5680581,67961.5,1.46286318,67961.5,1638.88058041,67803.3,66700.0,68794.2,735.4,1.09
2024-10-24 22:45:03.893353,BTC/USD,67961.4,0.51283863,67961.5,1.21084065,67961.5,1638.8728492,67803.3,66700.0,68794.2,735.5,1.09
2024-10-24 22:45:23.828417,BTC/USD,67961.4,14.63740166,67961.5,0.0131,67961.4,1638.87046472,67803.3,66700.0,68794.2,735.3,1.09
2024-10-24 22:45:34.204373,BTC/USD,67961.4,14.8003513,67961.5,0.0131,67961.4,1638.83787972,67803.3,66700.0,68794.2,735.3,1.09
2024-10-24 22:45:58.673579,BTC/USD,67961.4,16.07022604,67980.9,0.12519708,67980.9,1638.73047765,67803.4,66700.0,68794.2,754.9,1.12
2024-10-24 22:45:58.683401,BTC/USD,67968.8,0.5,67980.8,0.01911957,67980.8,1638.74047765,67803.4,66700.0,68794.2,754.8,1.12
2024-10-24 22:46:00.935002,BTC/USD,67980.0,1.94207541,67980.1,1.5563262,67980.1,1638.74330651,67803.4,66700.0,68794.2,754.1,1.12
2024-10-24 22:46:14.311146,BTC/USD,67980.0,11.84755084,67990.3,0.07117718,67990.3,1638.80062378,67803.4,66700.0,68794.2,764.3,1.14
2024-10-24 22:46:35.745689,BTC/USD,67990.2,5.10568972,67990.3,0.17816656,67990.3,1638.87289778,67803.4,66700.0,68794.2,764.3,1.14
2024-10-24 22:46:37.589415,BTC/USD,67995.4,0.97719509,67995.5,1.33817,67995.4,1638.88345077,67803.4,66700.0,68794.2,769.4,1.14
2024-10-24 22:46:45.276684,BTC/USD,67995.4,5.02987578,67995.5,0.00180507,67995.5,1638.88061288,67803.4,66700.0,68794.2,769.5,1.14
2024-10-24 22:47:03.641986,BTC/USD,67995.4,7.28102708,67995.5,0.13493564,67995.5,1638.91601305,67803.4,66700.0,68794.2,769.5,1.14
2024-10-24 22:47:05.748151,BTC/USD,67997.4,6.80752692,67997.5,0.13270288,67997.5,1638.91877148,67803.4,66700.0,68794.2,771.5,1.15
2024-10-24 22:47:25.410779,BTC/USD,67999.2,10.87193331,67999.3,0.00037375,67999.3,1638.92159388,67803.4,66700.0,68794.2,773.2,1.15
